Year,Time,hdensity,survival,hdensity_low95,hdensity_up95
2015-2016,10/1/2015,1.08,0.843,1.08,1.08
2015-2016,11/15/2015,0.91044,0.785,0.82836,0.999
2015-2016,12/15/2015,0.7146954,0.766,0.58068036,0.878121
2015-2016,1/15/2016,0.547456676,0.7,0.395443325,0.756062181
2015-2016,2/15/2016,0.383219673,0.783,0.239638655,0.61014218
2015-2016,3/15/2016,0.300061004,0.824,0.164152479,0.545467109
2015-2016,4/15/2016,0.247250268,NA,0.119995462,0.506738944
2016-2017,10/1/2016,1.52,0.905,1.52,1.52
2016-2017,11/15/2016,1.3756,0.856,1.292,1.46376
2016-2017,12/15/2016,1.1775136,0.899,1.012928,1.3686156
2016-2017,1/15/2017,1.058584726,0.851,0.84579488,1.324819901
2016-2017,2/15/2017,0.900855602,0.888,0.657182622,1.234732148
2016-2017,3/15/2017,0.799959775,0.77,0.537575385,1.19028179
2016-2017,4/15/2017,0.615969027,NA,0.363938535,1.041496566
2017-2018,10/1/2017,1.29,0.879,1.29,1.29
2017-2018,11/15/2017,1.13391,0.895,1.04103,1.23324
2017-2018,12/15/2017,1.01484945,0.922,0.83594709,1.23077352
2017-2018,1/15/2018,0.935691193,0.751,0.711390974,1.229542746
2017-2018,2/15/2018,0.702704086,0.746,0.456713005,1.079538531
2017-2018,3/15/2018,0.524217248,0.833,0.288185906,0.949993908
2017-2018,4/15/2018,0.436672968,NA,0.209511154,0.906294188
2018-2019,10/1/2018,0.76,0.808,0.76,0.76
2018-2019,11/15/2018,0.61408,0.872,0.58748,0.74708
2018-2019,12/15/2018,0.53547776,0.734,0.35601288,0.6649012
2018-2019,1/15/2019,0.393040676,0.753,0.229628308,0.584448155
2018-2019,2/15/2019,0.295959629,0.77,0.151554683,0.525418891
2018-2019,3/15/2019,0.227888914,0.69,0.086537724,0.437673936
2018-2019,4/15/2019,0.157243351,NA,0,0
2019-2020,10/1/2019,0.37,0.866,0.37,0.37
2019-2020,11/15/2019,0.32042,1,0.27195,0.37
2019-2020,12/15/2019,0.32042,0.804,NA,NA
2019-2020,1/15/2020,0.25761768,0.471,NA,NA
2019-2020,2/15/2020,0.121337927,0.839,NA,NA
2019-2020,3/15/2020,0.101802521,0.6,NA,NA
2019-2020,4/15/2020,0.061081513,NA,NA,NA
2020-2021,10/1/2020,0.15,0.846,0.15,0.15
2020-2021,11/15/2020,0.1269,0.636,0.10065,0.15
2020-2021,12/15/2020,0.0807084,0.857,0.04096455,0.14925
2020-2021,1/15/2021,0.069167099,0.714,0.02593056,0.14925
2020-2021,2/15/2021,0.049385309,1,0.01159096,0.14925
2020-2021,3/15/2021,0.049385309,0.762,NA,NA
2020-2021,4/15/2021,0.037631605,NA,NA,NA
2021-2022,10/1/2021,0.134666667,NA,,
2021-2022,11/15/2021,0.121888889,NA,,
2021-2022,12/15/2021,0.109111111,NA,,
2021-2022,1/15/2022,0.096333333,NA,,
2021-2022,2/15/2022,0.083555556,NA,,
2021-2022,3/15/2022,0.070777778,NA,,
2021-2022,4/15/2022,0.058,NA,,
