Month,Day,Julian,Daylight
1,1,1,5:46
1,2,2,5:49
1,3,3,5:51
1,4,4,5:54
1,5,5,5:57
1,6,6,6:00
1,7,7,6:03
1,8,8,6:06
1,9,9,6:09
1,10,10,6:13
1,11,11,6:16
1,12,12,6:20
1,13,13,6:24
1,14,14,6:28
1,15,15,6:32
1,16,16,6:36
1,17,17,6:40
1,18,18,6:45
1,19,19,6:49
1,20,20,6:54
1,21,21,6:58
1,22,22,7:03
1,23,23,7:08
1,24,24,7:13
1,25,25,7:18
1,26,26,7:22
1,27,27,7:27
1,28,28,7:33
1,29,29,7:38
1,30,30,7:43
1,31,31,7:48
2,1,32,7:53
2,2,33,7:59
2,3,34,8:04
2,4,35,8:09
2,5,36,8:15
2,6,37,8:20
2,7,38,8:25
2,8,39,8:31
2,9,40,8:36
2,10,41,8:42
2,11,42,8:47
2,12,43,8:53
2,13,44,8:58
2,14,45,9:04
2,15,46,9:10
2,16,47,9:15
2,17,48,9:21
2,18,49,9:26
2,19,50,9:32
2,20,51,9:38
2,21,52,9:43
2,22,53,9:49
2,23,54,9:55
2,24,55,10:00
2,25,56,10:06
2,26,57,10:12
2,27,58,10:17
2,28,59,10:23
3,1,60,10:29
3,2,61,10:34
3,3,62,10:40
3,4,63,10:46
3,5,64,10:51
3,6,65,10:57
3,7,66,11:03
3,8,67,11:08
3,9,68,11:14
3,10,69,11:19
3,11,70,11:23
3,12,71,11:28
3,13,72,11:34
3,14,73,11:40
3,15,74,11:45
3,16,75,11:51
3,17,76,11:57
3,18,77,12:03
3,19,78,12:08
3,20,79,12:14
3,21,80,12:20
3,22,81,12:25
3,23,82,12:31
3,24,83,12:37
3,25,84,12:42
3,26,85,12:48
3,27,86,12:54
3,28,87,12:59
3,29,88,13:05
3,30,89,13:11
3,31,90,13:16
