"","Modnames","K","AICc","Delta_AICc","AICcWt","LL","R2"
"1","p",5,3235.706,0,0.474,-1612.745,0.08
"2","tp",6,3236.535,0.829,0.313,-1612.117,0.08
"3","sp",6,3237.493,1.787,0.194,-1612.595,0.08
"4","th",4,3242.648,6.942,0.015,-1617.253,0.05
"5","sh",4,3246.946,11.24,0.002,-1619.402,0.03
"6","h",3,3247.578,11.872,0.001,-1620.746,0.02
"7","sl",4,3251.759,16.053,0,-1621.808,0.01
"8","n",2,3251.761,16.055,0,-1623.859,0
"9","s",3,3253.148,17.442,0,-1623.531,0
"10","l",3,3253.368,17.662,0,-1623.641,0
"11","t",3,3253.468,17.762,0,-1623.691,0
"12","tl",4,3255.377,19.671,0,-1623.617,0
